YEAR;DOY;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;WS2M;T2M_MAX;T2M_MIN
2021;316;20,85;24,81;0;43,81;0,16;37,69;25,27
2021;317;20,25;23,94;0,02;45,12;0,13;37,76;25,72
2021;318;20,24;23,99;0,02;58,19;0,08;33,33;25,6
2021;319;17;24,07;1,62;57,12;0,12;35,27;25,54
2021;320;19,54;24,21;0,47;58,94;0,1;35,9;24,42
2021;321;21,33;24,57;0;46,88;0,15;37,37;25,56
2021;322;22,59;24,46;6,91;53;0,16;36,11;25,31
2021;323;18,99;24,34;2,54;66,38;0,11;35,05;23,76
2021;324;20,39;24,31;0;58,62;0,09;35,79;24,56
2021;325;17,78;23,64;0,09;65,56;0,09;33,15;24,7
2021;326;16,53;23,65;12,11;85,69;0,09;27,33;23,41
2021;327;14,79;23,32;15,24;89,88;0,08;27,4;22,9
2021;328;14,99;22,5;0,22;82,06;0,1;29,27;22,65
2021;329;15,77;23,53;0;78,25;0,09;29,18;22,48
2021;330;13,51;23,37;0;80,56;0,11;29,55;22,85
2021;331;19,99;23,72;0;73,62;0,1;32,12;23,09
2021;332;19,65;23,47;0;66,12;0,12;34,51;23,09
2021;333;17,69;23,13;22,76;83,12;0,09;28,88;24,03
2021;334;17,8;23,34;44,9;96,06;0,1;25,08;22,16
2021;335;18,49;23,76;10,55;88,06;0,19;28,85;21,85
2021;336;18,83;23,62;4,02;85,38;0,12;28,93;21,69
2021;337;18,85;23,71;0,6;83,19;0,12;30,44;22,2
2021;338;18,34;23,5;0,18;77,44;0,13;31,33;22,97
2021;339;20,01;23,65;0,02;75,38;0,12;31,81;23,67
2021;340;19,61;23,48;0,02;71,5;0,1;32,63;23,44
2021;341;20,04;23,7;0;68,31;0,14;33,16;22,91
2021;342;18,84;23,63;0,02;70,75;0,12;32,44;24,12
2021;343;19,5;23,29;0,01;67,25;0,15;34,26;24,08
2021;344;17,82;23,4;0;65,31;0,12;34,88;24,13
2021;345;15,88;23,38;0,12;63,12;0,13;33,94;23,66
2021;346;19,12;23,45;5,89;70;0,12;33,07;22,84
2021;347;20,25;23,95;3,26;73,12;0,11;32,9;21,67
2021;348;17,77;23,37;0,14;67,56;0,09;32,58;22,89
2021;349;18,16;22,37;0,14;68,94;0,1;33,74;23,26
2021;350;17,22;22,9;0,09;72,25;0,09;32,34;23,65
2021;351;16,34;22,75;0,99;81;0,09;28,48;23,51
2021;352;13,42;22,87;0,31;75,62;0,11;31,95;22,83
2021;353;17,01;23,02;2,97;76,94;0,09;30,71;23,05
2021;354;17,63;23,01;6,32;78,38;0,15;32,24;22,22
